Address,ID,Assigned To,Provider Name (Linked),Technology,Service Type,City,State,Plans,Requires Follow-Up,Plan 1 - Plan Name,Plan 1 - Monthly Price,Plan 1 - Intro Price,Plan 1 - Intro Period (months),Plan 1 - Regular Price After Intro,Plan 1 - Other Discounts Available (Total Est.),Plan 1 - Other Discounts Available (Notes),Plan 1 - Installation Fees,Plan 1 - Taxes & Fees (Total Est.),Plan 1 - Taxes & Fees Breakdown,Plan 1 - Download Speed (Mbps),Plan 1 - Upload Speed (Mbps),Plan 1 - Data Cap (GB),Plan 1 - Contract Required? (Y/N),Plan 1 - Contract Length (months),Plan 1 - Early Termination Fee,Plan 1 - Contract Key Terms,Plan 1 - Termination Rights,Plan 1 - Low-Income Plan?,Plan 1 - ACP/EBB Eligible?,Plan 1 - BCL Source,Plan 1 - Screenshot,Plan 1 - Phone Recording,Plan 1 - T&C Attachment,Plan 1 - T&C AI Extracted Notes,Plan 1 - Comments,Plan 2 - Plan Name,Plan 2 - Monthly Price,Plan 2 - Intro Price,Plan 2 - Intro Period (months),Plan 2 - Regular Price After Intro,Plan 2 - Other Discounts Available (Total Est.),Plan 2 - Other Discounts Available (Notes),Plan 2 - Installation Fees,Plan 2 - Taxes & Fees (Total Est.),Plan 2 - Taxes & Fees Breakdown,Plan 2 - Download Speed (Mbps),Plan 2 - Upload Speed (Mbps),Plan 2 - Data Cap (GB),Plan 2 - Contract Required? (Y/N),Plan 2 - Contract Length (months),Plan 2 - Early Termination Fee,Plan 2 - Contract Key Terms,Plan 2 - Termination Rights,Plan 2 - Low-Income Plan,Plan 2 - Low-Income Monthly Price,Plan 2 - ACP/EBB Eligible?,Plan 2 - BCL Source,Plan 2 - Screenshot,Plan 2 - Phone Recording,Plan 2 - T&C Attachment,Plan 2 - T&C AI Extracted Notes,Plan 2 - Comments,Plan 3 - Plan Name,Plan 3 - Monthly Price,Plan 3 - Intro Price,Plan 3 - Intro Period (months),Plan 3 - Regular Price After Intro,Plan 3 - Other Discounts Available (Total Est.),Plan 3 - Other Discounts Available (Notes),Plan 3 - Installation Fees,Plan 3 - Taxes & Fees (Total Est.),Plan 3 - Taxes & Fees Breakdown,Plan 3 - Download Speed (Mbps),Plan 3 - Upload Speed (Mbps),Plan 3 - Data Cap (GB),Plan 3 - Contract Required? (Y/N),Plan 3 - Contract Length (months),Plan 3 - Early Termination Fee,Plan 3 - Contract Key Terms,Plan 3 - Termination Rights,Plan 3 - Low-Income Plan?,Plan 3 - ACP/EBB Eligible?,Plan 3 - BCL Source,Plan 3 - Screenshot,Plan 3 - Phone Recording,Plan 3 - T&C Attachment,Plan 3 - T&C AI Extracted Notes,Plan 3 - Comments,Plans 2,Plans 3
6634 ULLOM DR,130,Miles,Hotwire Communications,Fiber to the Premises,Commercial,LAS VEGAS,NV,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7295 S RAINBOW BLVD,131,Miles,NetFortris,Fiber to the Premises,Commercial,LAS VEGAS,NV,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651 S CASINO DR,132,Miles,Optimum,Cable,Commercial,LAUGHLIN,NV,"Optimum - 300,Optimum  - 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300 S CASINO DR,133,Miles,Optimum,Cable,Commercial,LAUGHLIN,NV,"Optimum - 300,Optimum  - 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311 S CASINO DR,134,Miles,Optimum,Cable,Commercial,LAUGHLIN,NV,"Optimum - 300,Optimum  - 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920 N GREEN VALLEY PKWY BLDG 4,135,Kayley,Peerless Network,Other,Commercial,HENDERSON,NV,Peerless Network Plan - TBD,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775 S MARYLAND PKWY,138,Kayley,Stimulus Technologies,Unlicensed Fixed Wireless,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601 N GREEN VALLEY PKWY,137,Kayley,Stimulus Technologies,Unlicensed Fixed Wireless,Commercial,HENDERSON,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101 E CRAIG RD,136,Eddie Joe,Stimulus Technologies,Unlicensed Fixed Wireless,Commercial,NORTH LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775 S MARYLAND PKWY,141,Miles,T-Mobile,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,"T Mobile Away 200GB,T Mobile Away Unlimited,T Mobile Home Internet Backup,T Mobile Home Internet Lite 100 GB,T Mobile Home Internet Lite 150 GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645 W CHEYENNE AVE,139,Miles,T-Mobile,Licensed Fixed Wireless,Commercial,NORTH LAS VEGAS,NV,"T Mobile Small Business Growth,T Mobile Business Advanced",checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975 WHITE DR,140,Eddie Joe,T-Mobile,Licensed Fixed Wireless,Commercial,LAS VEGAS,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900 W OQUENDO RD,142,Miles,TPx Communications,Copper,Commercial,LAS VEGAS,NV,Tpx Communications,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is this an internet service provider? I don't think so. It looks like a managed IT services company. ,,
7440 W CHEYENNE AVE,144,Miles,TPx Communications,Copper,Commercial,LAS VEGAS,NV,Tpx Communications,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is this an internet service provider? I don't think so. It looks like a managed IT services company. ,,
5041 W DIABLO DR,143,Miles,TPx Communications,Copper,Commercial,LAS VEGAS,NV,Tpx Communications,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is this an internet service provider? I don't think so. It looks like a managed IT services company. ,,
